GO,Tdro,Ajap,Pvin,Pqin,Tele,Gfla,Lhet,Cchi,Asoj,Nvit,Ppup,Acal,Aful,Csol,Pven,Lbou,Hheb,Btre,Vvel
GO:0051236,9292.44039,24207.3185373055,7246.113968118299,28401.37337149,23833.086459804,18395.14717656,7331.035815215,16363.459201806,23312.538730789696,10354.3725464085,18123.021928144,22227.521258235,16806.9975638496,6851.7748689588,14831.4884998566,12398.7730183766,14889.903156628,2423.2102030808,11881.226305557
GO:0051252,131163.97404,199810.168067085,83047.784363973,181756.20180708,197087.443929702,129256.4426538,59289.56748475,189026.74930902,197001.309310902,80576.799349252,161219.650468752,222209.13043956,145425.511401792,89093.377193854,200210.27484432,117599.320843864,114272.919968272,28774.339956052,149054.54576439
GO:0051253,70000.37761,111751.61235562,40641.058502781,89466.984763312,101455.038491472,71733.3984444,29685.8385694,78191.955262968,98332.118318085,41984.402539922,77621.864812848,108535.403287929,80919.99509625601,44994.032299755,94956.272966802,56182.616338404,58143.936807388,14871.2982724236,82499.420872575
GO:0051641,281768.0073919999,510255.8215431601,207233.46780477,357023.71998098,353339.53244739,179246.2424214,123957.3973122,266714.9133015,657531.8372074,268418.11070987,363874.43097584,505908.9492089699,331846.66032,58803.062735813,277450.7577075,264104.80164356,293782.16989112,42931.62177155599,174264.62652522
GO:0051649,261428.134518,475802.6369779001,186525.15311661,302502.65681184,308125.65408822,151075.393623,111824.645032,194327.24840718,610764.00225478,248873.73630429,337267.01641864,458083.5092268001,308754.3466272,46643.022079841,239582.63060277,180579.231375934,273167.85960472,38333.692213364,139080.19255116
GO:0060255,335906.575218,636005.09033276,268467.62681574,458687.59942674,481809.46013388,246978.709131,152248.5551455,362393.88793002,741753.3128472399,296935.18577706,461804.90395504,631079.24680029,421097.11617216,151792.05942461,415212.87271971,549727.93863906,341343.18030564,57897.295745984,276042.88110672
GO:0065007,507588.510924,808699.0111931199,352764.90848049,738359.9217281,883548.66958857,427540.772967,245338.899881,590920.4874522,899998.90320929,485572.98744143,640589.56860648,900914.41626231,570322.4441952001,280164.90150781,562914.9966843,745448.15307662,463528.34170584,78740.94771974,473442.9200451301
GO:0070013,296260.35717,465412.9229827499,193168.56752292,386275.89462642,418982.48587953,247551.979983,231631.058817,269110.00779546,499144.49773750897,285910.48708976,330105.79437416,466713.2654136,314651.31371136,230012.84751643,317770.34202732,268920.75846264,252554.08261636,76814.06150376,233569.56979398
GO:0070727,251699.512022,452097.67834747,174290.72836263,274238.53068942,270753.55242678,133487.1623547,102245.8020514,180838.13646438,605981.63020765,241221.570170033,328683.5481343199,440659.96737129,292571.82957888,37588.30432194199,237946.86135246,225103.769662636,257176.43879856,35118.753472304,118588.72612335
GO:0071166,6838.325286,18798.4240267444,4716.775865221201,19581.428669342,16916.1265853226,12631.79213835,5447.512446115,9792.6629170062,19580.3373973054,7034.9062356296,14945.4533553712,16624.9587030831,13026.9311059872,1775.0484284753,10335.6406940982,8909.6567643072,11681.2066998176,1972.8118553988,6213.2123384541
